,0,1
337,lbp-2D_glrlm_HighGrayLevelRunEmphasis,0
338,lbp-2D_glrlm_LongRunEmphasis,0
339,lbp-2D_glrlm_LongRunHighGrayLevelEmphasis,0
340,lbp-2D_glrlm_LongRunLowGrayLevelEmphasis,0
341,lbp-2D_glrlm_LowGrayLevelRunEmphasis,0
342,lbp-2D_glrlm_RunEntropy,0
343,lbp-2D_glrlm_RunLengthNonUniformity,0
344,lbp-2D_glrlm_RunLengthNonUniformityNormalized,0
345,lbp-2D_glrlm_RunPercentage,0
346,lbp-2D_glrlm_RunVariance,0
347,lbp-2D_glrlm_ShortRunEmphasis,0
348,lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis,0
349,lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis,0
350,lbp-2D_glszm_GrayLevelNonUniformity,0
351,lbp-2D_glszm_GrayLevelNonUniformityNormalized,0
352,lbp-2D_glszm_GrayLevelVariance,0
353,lbp-2D_glszm_HighGrayLevelZoneEmphasis,0
354,lbp-2D_glszm_LargeAreaEmphasis,0
355,lbp-2D_glszm_LargeAreaHighGrayLevelEmphasis,0
356,lbp-2D_glszm_LargeAreaLowGrayLevelEmphasis,0
357,lbp-2D_glszm_LowGrayLevelZoneEmphasis,0
358,lbp-2D_glszm_SizeZoneNonUniformity,0
359,lbp-2D_glszm_SizeZoneNonUniformityNormalized,0
360,lbp-2D_glszm_SmallAreaEmphasis,0
361,lbp-2D_glszm_SmallAreaHighGrayLevelEmphasis,0
362,lbp-2D_glszm_SmallAreaLowGrayLevelEmphasis,0
363,lbp-2D_glszm_ZoneEntropy,0
364,lbp-2D_glszm_ZonePercentage,0
365,lbp-2D_glszm_ZoneVariance,0
366,lbp-2D_gldm_DependenceEntropy,0
367,lbp-2D_gldm_DependenceNonUniformity,0
368,lbp-2D_gldm_DependenceNonUniformityNormalized,0
369,lbp-2D_gldm_DependenceVariance,0
370,lbp-2D_gldm_GrayLevelNonUniformity,0
371,lbp-2D_gldm_GrayLevelVariance,0
372,lbp-2D_gldm_HighGrayLevelEmphasis,0
373,lbp-2D_gldm_LargeDependenceEmphasis,0
374,lbp-2D_gldm_LargeDependenceHighGrayLevelEmphasis,0
375,lbp-2D_gldm_LargeDependenceLowGrayLevelEmphasis,0
376,lbp-2D_gldm_LowGrayLevelEmphasis,0
377,lbp-2D_gldm_SmallDependenceEmphasis,0
378,lbp-2D_gldm_SmallDependenceHighGrayLevelEmphasis,0
379,lbp-2D_gldm_SmallDependenceLowGrayLevelEmphasis,0
380,logarithm_firstorder_10Percentile,0
381,logarithm_firstorder_90Percentile,0
382,logarithm_firstorder_Energy,0
383,logarithm_firstorder_Entropy,0
384,logarithm_firstorder_InterquartileRange,0
385,logarithm_firstorder_Kurtosis,0
386,logarithm_firstorder_Maximum,0
387,logarithm_firstorder_MeanAbsoluteDeviation,0
388,logarithm_firstorder_Mean,0
389,logarithm_firstorder_Median,0
390,logarithm_firstorder_Minimum,0
391,logarithm_firstorder_Range,0
392,logarithm_firstorder_RobustMeanAbsoluteDeviation,0
393,logarithm_firstorder_RootMeanSquared,0
394,logarithm_firstorder_Skewness,0
395,logarithm_firstorder_TotalEnergy,0
396,logarithm_firstorder_Uniformity,0
397,logarithm_firstorder_Variance,0
398,logarithm_glcm_Autocorrelation,0
399,logarithm_glcm_JointAverage,0
400,logarithm_glcm_ClusterProminence,0
401,logarithm_glcm_ClusterShade,0
402,logarithm_glcm_ClusterTendency,0
403,logarithm_glcm_Contrast,0
404,logarithm_glcm_Correlation,0
405,logarithm_glcm_DifferenceAverage,0
406,logarithm_glcm_DifferenceEntropy,0
407,logarithm_glcm_DifferenceVariance,0
408,logarithm_glcm_JointEnergy,0
409,logarithm_glcm_JointEntropy,0
410,logarithm_glcm_Imc1,0
